"Governorate","sector","activity","Partner","Area","Refugee.Camps","Start","End","Total","costunit","gender","target","Objective","Sector","Category","Output","RegionCODE","Area2"
"Irbid","HLTH[1]Primary Health Care","[REF1.2]Improved NCD Mngt","IRC","Ar-Ramtha City",,"2015-01-01","2015-12-31",250,"No Unit cost","2-No reported target","No reported target","Primary Health Care","HEALTH","Refugee","Improved NCD Mngt","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","ICMC","Irbid Governorate",,"2015-01-01","2016-09-01",276663,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","HI","Irbid Governorate",,"2014-09-01","2015-03-31",260000,"c- 100-249$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.5]Promotion of Social Cohesion","FCA","Cyber City Refugee Center",,"2015-01-01","2015-12-31",20000,"c- 100-249$","1-All","Camp only","Quality/Protective Learning Environs.","EDUCATION","Refugee","Promotion of Social Cohesion","2","Cyber City Refugee Center"
"Irbid","HLTH[1]Primary Health Care","[REF1.3]Reproductive Health Services","UNFPA","Irbid City",,"2015-01-01","2015-12-31",120000,"c- 100-249$","3-Mix","Host, Urban & Rural","Primary Health Care","HEALTH","Refugee","Reproductive Health Services","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","WarChild UK","Kitim",,"2015-01-01","2015-04-15",26100,"a- 0-49$","1-All","Urban & Rural only","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","LWF","Irbid City",,"2015-03-01","2015-12-31",15000,"d- 250-499$","7-Adult","Host only","Quality/Protective Learning Environs.","EDUCATION","Refugee","Training Edc. Service Providers","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","IMC","Irbid Governorate",,"2015-01-01","2015-12-31",22925,"No Unit cost","2-No reported target","No reported target","Community Empowered; Services to Vuln","PROTECTION","Refugee","Persons w/Special Needs","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",444915,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","ICMC","Irbid Governorate",,"2015-01-01","2015-12-21",165750,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","WASH[1]Access to Safe Water","[REF1.3]Water in School/Clinics","RI","Irbid City",,"2015-01-01","2015-12-31",50000,"a- 0-49$","1-All","Host, Urban & Rural","Access to Safe Water","WASH","Refugee","Water in School/Clinics","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","IRC","Irbid City",,"2015-01-01","2015-12-31",164239,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","JEN","Liwa ar Ramtha",,"2015-01-01","2015-12-31",75000,"a- 0-49$","1-All","Camp only","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","PROT[1]Refugee Rights Respected","[REF1.2]Registr & Profiling","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",2058316,"No Unit cost","2-No reported target","No reported target","Refugee Rights Respected","PROTECTION","Refugee","Registr & Profiling","1707","IRBID"
"Irbid","HLTH[1]Primary Health Care","[REF1.3]Reproductive Health Services","UNFPA","Cyber City Refugee Center",,"2015-01-01","2015-12-31",50000,"d- 250-499$","3-Mix","Camp only","Primary Health Care","HEALTH","Refugee","Reproductive Health Services","2","Cyber City Refugee Center"
"Irbid","WASH[3]Hygiene promotion","[REF3.1]Refugee Hygiene Promotion","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",10000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","Refugee Hygiene Promotion","1707","IRBID"
"Irbid","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",2e+05,"a- 0-49$","1-All","Camp, Urban & Rural","Refugee Rights Respected","PROTECTION","Refugee","Access Legal Assistance","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",70000,"a- 0-49$","1-All","Host, Urban & Rural","SGBV Prevention & Response","PROTECTION","Refugee","Community Prevention initiatives","1707","IRBID"
"Irbid","WASH[2]Access to Sanitation","[REF2.1]San/Waste Water Collection","ACTED","Irbid Governorate",,"2015-01-01","2015-12-31",5e+05,"a- 0-49$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","San/Waste Water Collection","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",9750,"c- 100-249$","6-Minor only","Urban & Rural only","Child Protection","PROTECTION","Refugee","Specialised Services/Case Mngmt.","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","JEN","Irbid City",,"2015-01-01","2015-12-31",71500,"e- 500-2000$","6-Minor only","Host only","Access to Inclusive Education","EDUCATION","Refugee","Formal Educ Prim/Secondary","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.1] PSS activities","FCA","King Abdullah Park Refugee Center",,"2015-01-01","2015-12-31",49880,"c- 100-249$","1-All","Camp only","Quality/Protective Learning Environs.","EDUCATION","Refugee"," PSS activities","2","King Abdullah Park Refugee Center"
"Irbid","HLTH[3]Integrated Community Interventions","[REF3.1]Community Health Teams","JHAS","Irbid Governorate",,"2015-01-01","2015-12-31",130000,"a- 0-49$","1-All","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Community Health Teams","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.1] PSS activities","WarChild UK","Irbid Governorate",,"2015-02-01","2015-12-31",40000,"No Unit cost","2-No reported target","No reported target","Quality/Protective Learning Environs.","EDUCATION","Refugee"," PSS activities","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.5]Promotion of Social Cohesion","Intersos","Irbid Governorate",,"2015-01-01","2015-12-31",72000,"b- 50-99$","6-Minor only","Host, Urban & Rural","Quality/Protective Learning Environs.","EDUCATION","Refugee","Promotion of Social Cohesion","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","CARE","Irbid Governorate",,"2015-01-01","2015-12-31",270494,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","SC Jordan","Ar-Ramtha City",,"2015-01-01","2015-12-31",81666,"a- 0-49$","3-Mix","Urban & Rural only","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.3]Govt and non-govt actors in all sectors are able to provide informed referral and appropriate services to SGBV survivors, and incorporate SGBV risk mitigation strategies in the planning and implementation of their activities","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",50000,"No Unit cost","2-No reported target","No reported target","SGBV Prevention & Response","PROTECTION","Refugee","Govt and non-govt actors in all sectors ar","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","CARE","Irbid Governorate",,"2015-01-01","2015-12-31",47000,"d- 250-499$","8-Women only","Host, Urban & Rural","SGBV Prevention & Response","PROTECTION","Refugee","Community Prevention initiatives","1707","IRBID"
"Irbid","HLTH[1]Primary Health Care","[REF1.2]Improved NCD Mngt","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",123704,"a- 0-49$","7-Adult","Urban & Rural only","Primary Health Care","HEALTH","Refugee","Improved NCD Mngt","1707","IRBID"
"Irbid","WASH[1]Access to Safe Water","[REF1.2]Piped water networks","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",185900,"No Unit cost","2-No reported target","No reported target","Access to Safe Water","WASH","Refugee","Piped water networks","1707","IRBID"
"Irbid","HLTH[2]Secondary/Tertiary Care","[REF2.1]Comprehensive secondary mental health service provided, ","IMC","Irbid Governorate",,"2015-01-01","2015-12-31",50000,"d- 250-499$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Comprehensive secondary mental health serv","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","RI","Ar-Ramtha City",,"2015-01-01","2015-12-31",1e+05,"b- 50-99$","1-All","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Formal Educ Prim/Secondary","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","CARE","Irbid Governorate",,"2015-01-01","2015-12-31",0,"No Unit cost","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.3]Govt and non-govt actors in all sectors are able to provide informed referral and appropriate services to SGBV survivors, and incorporate SGBV risk mitigation strategies in the planning and implementation of their activities","IMC","Irbid Governorate",,"2015-01-01","2015-12-31",1250,"No Unit cost","2-No reported target","No reported target","SGBV Prevention & Response","PROTECTION","Refugee","Govt and non-govt actors in all sectors ar","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.5]Promotion of Social Cohesion","NRC","Irbid City",,"2015-01-01","2015-12-31",1e+05,"a- 0-49$","1-All","Host, Urban & Rural","Quality/Protective Learning Environs.","EDUCATION","Refugee","Promotion of Social Cohesion","1707","IRBID"
"Irbid","WASH[1]Access to Safe Water","[REF1.2]Piped water networks","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",6e+05,"No Unit cost","2-No reported target","No reported target","Access to Safe Water","WASH","Refugee","Piped water networks","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",336198,"b- 50-99$","6-Minor only","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1707","IRBID"
"Irbid","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","RI","Irbid City",,"2015-01-01","2015-12-31",50000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1707","IRBID"
"Irbid","FOOD/LIV[1]Access to Food","[REF1.1]Food Assistance","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",220339,"a- 0-49$","1-All","Host, Urban & Rural","Access to Food","FOOD/LIVELIHOOD","Refugee","Food Assistance","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.2]Advocacy & Knowledge Generation","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",9600,"No Unit cost","2-No reported target","No reported target","Child Protection","PROTECTION","Refugee","Advocacy & Knowledge Generation","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.2]Provision of sealing off kits","JHAS","Irbid Governorate",,"2015-06-01","2015-10-31",78000,"b- 50-99$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of sealing off kits","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.3]Govt and non-govt actors in all sectors are able to provide informed referral and appropriate services to SGBV survivors, and incorporate SGBV risk mitigation strategies in the planning and implementation of their activities","IMC","Irbid Governorate",,"2015-01-01","2015-12-31",1250,"No Unit cost","2-No reported target","No reported target","SGBV Prevention & Response","PROTECTION","Refugee","Govt and non-govt actors in all sectors ar","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",283271,"No Unit cost","2-No reported target","No reported target","Community Empowered; Services to Vuln","PROTECTION","Refugee","Persons w/Special Needs","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",1006,"a- 0-49$","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","SCI","Irbid Governorate",,"2014-07-01","2015-12-31",4000,"a- 0-49$","7-Adult","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","LWF","Irbid Governorate",,"2015-01-01","2015-12-31",5e+05,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","UNHCR","Irbid Governorate",,"2015-01-01","2015-12-31",513240,"c- 100-249$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Mercy Corps","Irbid Governorate",,"2014-12-01","2015-08-01",250000,"No Unit cost","2-No reported target","No reported target","Community Empowered; Services to Vuln","PROTECTION","Refugee","Social Cohesion/Coexistence","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",10000,"b- 50-99$","6-Minor only","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Specialised Services/Case Mngmt.","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.2]Community Self-Mngmt","SCI","Irbid Governorate",,"2014-05-01","2015-12-31",8000,"c- 100-249$","7-Adult","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Community Self-Mngmt","1707","IRBID"
"Irbid","HLTH[2]Secondary/Tertiary Care","[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided","HI","Irbid Governorate",,"2014-09-01","2015-03-31",1045000,"d- 250-499$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Comprehensive rehabilitation for adults an","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Caritas","Irbid Governorate",,"2015-01-01","2015-12-30",12474,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Persons w/Special Needs","1707","IRBID"
"Irbid","HLTH[1]Primary Health Care","[REF1.6]Mental Health Services (primary)","IMC","Irbid Governorate",,"2015-01-01","2015-12-31",18000,"No Unit cost","2-No reported target","No reported target","Primary Health Care","HEALTH","Refugee","Mental Health Services (primary)","1707","IRBID"
"Irbid","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","WVI","Irbid Governorate",,"2015-03-01","2015-12-31",70000,"a- 0-49$","6-Minor only","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.3]Provision of conditional cash for rent to vulnerable households","IR","Liwa al Wasatiyah",,"2015-01-01","2015-12-31",312854,"No Unit cost","2-No reported target","No reported target","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of conditional cash for rent to ","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.2]Cert. Alt/Non-Formal Education","Questcope","Irbid City",,"2015-01-01","2015-12-31",75000,"e- 500-2000$","1-All","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Cert. Alt/Non-Formal Education","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","WarChild UK","Kitim",,"2015-01-01","2015-04-15",104000,"c- 100-249$","1-All","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1707","IRBID"
"Irbid","HLTH[3]Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mngt ","MEDAIR","Irbid Governorate",,"2015-01-01","2015-12-31",27626,"a- 0-49$","3-Mix","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Mat/Child (incl. neonatal) Health mngt ","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","UPP","Irbid City",,"2015-01-01","2015-12-31",187455,"a- 0-49$","7-Adult","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","RI","Ar-Ramtha City",,"2015-01-01","2015-12-31",1e+05,"b- 50-99$","1-All","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",473848,"f- >2000$","6-Minor only","Host only","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.5]Increasing awareness on housing, land and property laws","NRC","Irbid City",,"2015-01-01","2015-12-31",75000,"a- 0-49$","7-Adult","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Increasing awareness on housing, land and ","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.2]Provision of sealing off kits","Intersos","Irbid Governorate",,"2015-01-01","2015-12-31",195000,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of sealing off kits","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.1] PSS activities","Caritas","Irbid Governorate",,"2015-01-01","2015-12-30",14528.57,"a- 0-49$","6-Minor only","Urban & Rural only","Quality/Protective Learning Environs.","EDUCATION","Refugee"," PSS activities","1707","IRBID"
"Irbid","HLTH[1]Primary Health Care","[REF1.5]Inf/Child Feeding practice","MEDAIR","Irbid Governorate",,"2015-01-01","2015-12-31",24215,"a- 0-49$","8-Women only","Host, Urban & Rural","Primary Health Care","HEALTH","Refugee","Inf/Child Feeding practice","1707","IRBID"
"Irbid","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","CARE","Irbid Governorate",,"2015-01-01","2015-12-31",23000,"a- 0-49$","1-All","Host, Urban & Rural","SGBV Prevention & Response","PROTECTION","Refugee","Community Prevention initiatives","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","Intersos","Irbid Governorate",,"2015-01-01","2015-12-31",24000,"d- 250-499$","7-Adult","Host only","Quality/Protective Learning Environs.","EDUCATION","Refugee","Training Edc. Service Providers","1707","IRBID"
"Irbid","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",1000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","LWF","Irbid Governorate",,"2015-01-01","2015-12-31",2e+05,"c- 100-249$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","ICSC","Irbid City",,"2015-01-01","2015-12-31",1440000,"d- 250-499$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","UNFPA","Irbid Governorate",,"2015-01-01","2015-12-31",82550,"d- 250-499$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1707","IRBID"
"Irbid","EDU[2]Quality/Protective Learning Environs.","[REF2.4]Improved Public Learning Spaces","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",166689,"c- 100-249$","3-Mix","Host, Urban & Rural","Quality/Protective Learning Environs.","EDUCATION","Refugee","Improved Public Learning Spaces","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","IRC","Irbid City",,"2015-01-01","2015-12-31",493949,"e- 500-2000$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1707","IRBID"
"Irbid","SHLT[2]Urban/Rural Adequate Shelter","[REF2.1]Upgrading of shelters to adequate standards","NRC","Irbid Governorate",,"2015-01-01","2015-12-31",1048320,"c- 100-249$","1-All","Host, Urban & Rural","Urban/Rural Adequate Shelter","SHELTER","Refugee","Upgrading of shelters to adequate standard","1707","IRBID"
"Irbid","PROT[1]Refugee Rights Respected","[REF1.3]Access Legal Assistance","Caritas","Irbid Governorate",,"2015-01-01","2015-12-30",1408.42,"a- 0-49$","7-Adult","Urban & Rural only","Refugee Rights Respected","PROTECTION","Refugee","Access Legal Assistance","1707","IRBID"
"Irbid","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","RI","Ar-Ramtha City",,"2015-01-01","2015-12-31",50000,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","LWF","Irbid City",,"2015-01-01","2015-12-31",170000,"d- 250-499$","7-Adult","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","SCI","Irbid Governorate",,"2014-05-01","2015-12-31",240000,"c- 100-249$","6-Minor only","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Intersos","Irbid Governorate",,"2015-01-01","2015-12-31",428000,"b- 50-99$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Social Cohesion/Coexistence","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","MEDAIR","Irbid Governorate",,"2015-01-01","2015-12-31",231350,"e- 500-2000$","8-Women only","Host only","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1707","IRBID"
"Irbid","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","Intersos","Irbid Governorate",,"2015-01-01","2015-12-31",256800,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","SCI","Irbid Governorate",,"2014-04-01","2015-12-31",10000,"a- 0-49$","7-Adult","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.4]Seasonal Assist for Harsh Weather","JHAS","Irbid Governorate",,"2015-01-01","2015-12-31",204490,"b- 50-99$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Seasonal Assist for Harsh Weather","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","HI","Irbid Governorate",,"2014-09-01","2015-03-31",595000,"d- 250-499$","1-All","Urban & Rural only","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.3]Non-Cert. Informal/Basic Skills","SCI","Irbid Governorate",,"2015-01-01","2015-12-31",96000,"e- 500-2000$","6-Minor only","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Non-Cert. Informal/Basic Skills","1707","IRBID"
"Irbid","WASH[3]Hygiene promotion","[REF3.2]School/Clinic Hygiene Promt.","RI","Ar-Ramtha City",,"2015-01-01","2015-12-31",1e+05,"a- 0-49$","1-All","Host, Urban & Rural","Hygiene promotion","WASH","Refugee","School/Clinic Hygiene Promt.","1707","IRBID"
"Irbid","EDU[1]Access to Inclusive Education","[REF1.4]Pre-Primary Education","Caritas","Irbid Governorate",,"2015-01-01","2015-12-30",82267.26,"e- 500-2000$","3-Mix","Host, Urban & Rural","Access to Inclusive Education","EDUCATION","Refugee","Pre-Primary Education","1707","IRBID"
"Irbid","HLTH[3]Integrated Community Interventions","[REF3.1]Community Health Teams","MEDAIR","Irbid Governorate",,"2015-01-01","2015-12-31",103615,"f- >2000$","7-Adult","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Community Health Teams","1707","IRBID"
"Irbid","WASH[2]Access to Sanitation","[REF2.2]Sewer Networks","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",21186,"a- 0-49$","1-All","Host, Urban & Rural","Access to Sanitation","WASH","Refugee","Sewer Networks","1707","IRBID"
"Irbid","PROT[4]Child Protection","[REF4.3]Community Mechanisms Strength/d","TDH","Irbid Governorate",,"2015-01-01","2015-12-31",3600,"No Unit cost","2-No reported target","No reported target","Child Protection","PROTECTION","Refugee","Community Mechanisms Strength/d","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","Caritas","Irbid Governorate",,"2015-01-01","2015-12-31",612994,"a- 0-49$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1707","IRBID"
"Irbid","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","SCI","Liwa ar Ramtha",,"2015-01-01","2015-12-31",360000,"c- 100-249$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1707","IRBID"
